Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,746.922,705.597,617.126,635.789,582.323,586.204,611.268,,,,,,,
Albania,728.359,817.734,824.542,815.529,788.332,788.801,855.724,832.245,805.046,860.784,675.736,408.022,259.75,452.623,736.028,903.989,1009.967,717.381,818.32,1032.264,1127.64,1283.573,1425.125,1846.119,2373.58,2673.773,2972.745,3595.053,4370.562,4114.09,4097.833,4439.89,4248.909,4415.6,4584.919,3953.611,4124.405,4525.887,5257.714,5345.058,5268.239,6373.3,6369.009,6591.682,6968.694,7470.082,7958.016,8469.507
Algeria,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.386,2636.479,3141.027,3508.959,3986.564,4943.502,3890.524,4480.719,5447.6,5575.653,5477.055,5466.329,4153.322,3918.941,4079.653,4118.839,3953.576,3304.865,3659.531,4151.437,4162.176,4242.401,4371.569,4523.644,4637.342
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49030.229,51957.313,45713.97,45630.195,46299.282,38877.485,39595.317,40017.741,42229.903,40688.491,36973.845,41873.06,40722.63,40643.312,41732.561,42833.362,43788.262,44630.354
Angola,745.119,679.02,661.52,671.804,693.779,758.525,690.446,769.563,812.794,920.268,986.639,928.506,695.059,489.755,346.239,419.529,525.403,599.077,493.041,452.677,652.11,619.697,841.42,951.969,1222.038,1862.424,2561.859,3099.087,4081.688,3146.802,3641.444,4716.253,5245.023,5436.516,5625.736,4354.921,3676.826,4300.097,3465.062,2805.261,1873.11,2352.128,3790.704,3997.713,4071.392,4144.01,4222.687,4308.014
Antigua and Barbuda,1920.249,2177.087,2448.585,2752.968,3200.985,3763.974,4617.61,5455.264,6547.259,7273.247,7623.434,7927.588,8084.427,8474.038,9097.243,8675.237,9266.473,9678.32,10074.75,10349.52,10931.312,10411.422,10485.776,10921.845,11613.334,12785.872,14317.674,16060.877,16574.257,14688.677,13574.44,13295.364,13825.317,13414.902,13980.61,14728.706,15588.535,15686.747,16902.149,17495.76,13997.537,14809.483,16786.939,18264.769,19443.788,20354.796,21049.995,21766.93
Argentina,8361.209,6671.428,3257.853,3962.735,4374.783,3248.745,3857.027,3909.984,4524.498,2867.307,4857.796,6429.454,7653.711,7796.24,8378.735,8295.123,8645.455,9196.516,9283.175,8709.072,8638.543,8085.356,2997.621,3761.088,4314.098,5163.55,5976.082,7315.726,9146.79,8337.811,10412.974,12787.806,13889.792,14488.829,13208.831,14895.316,12772.868,14618.327,11786.433,10054.023,8571.937,10616.947,13621.859,13767.102,13607.493,13116.374,13143.979,13612.546
Armenia,,,,,,,,,,,,,31.321,247.884,196.98,399.576,503.774,521.869,608.415,597.241,620.638,692.287,779.122,923.387,1180.399,1628.063,2128.151,3079.031,3913.436,2911.763,3121.778,3417.172,3575.529,3732.035,3889.004,3529.026,3524,3868.906,4195.963,4596.861,4267.487,4701.479,5971.816,6567.73,7082.74,7728.058,8278.005,8879.05
Aruba,,,,,,,,,,,,,,,,16548.717,16620.854,17750.489,18825.012,19215.013,20681.023,20740.133,21307.248,21949.486,23700.632,24172.085,24845.658,26736.576,28172.189,25134.771,24084.879,25656.881,25006.763,25813.577,26129.834,27458.205,27441.55,28440.052,29402.691,30850.838,24036.872,28682.797,31990.124,33482.366,34779.536,36126.962,37562.517,38915.098
Australia,11000.106,12519.996,12226.554,11584.2,12566.629,10960.218,11237.657,12989.872,16235.068,18191.41,18859.611,18656.521,18106.743,17447.644,19736.288,20908.435,23153.751,23023.644,20374.747,21748.002,20879.214,19473.668,21683.513,27283.266,32843.381,36217.493,37929.777,45157.561,49169.066,45733.623,56538.842,67251.796,68441.189,65197.914,61607.949,51412.69,51826.426,55812,56333.519,54323.089,52952.827,63464.106,66407.604,68023.152,69018.184,70979.184,73091.987,75393.911
