Country,WC1,WC2,FT,QS,G,W,D,L,G+,G-,GD,P2+,P%,P+,P3+
Germany,18,16,18,190,130,38,22,473,187,286,298:,82,"0,784",354,428
Brazil,20,20,20,196,127,41,28,420,161,259,295:,97,"0,753",349,422
Mexico,18,6,15,3,212,116,47,49,462,208,254,279:145,"0,658",340,395
Argentina,17,15,16,1,195,111,42,42,347,195,152,264:126,"0,677",331,375
Italy,19,19,18,1,180,112,43,25,328,137,191,267:,93,742,313
Netherlands,17,15,10,7,165,103,34,28,361,129,232,240:,90,727,298
Spain,18,17,14,4,166,101,36,29,330,141,189,238:,94,717,290
England,17,17,14,3,164,94,42,28,336,120,216,230:,98,701,272
Costa,Rica,15,15,4,11,171,81,42,48,287,188,99,204:138,596,253
USA,19,17,10,9,171,78,38,55,266,227,39,194:148,"0,567",251,272
Uruguay,18,17,12,6,187,80,50,57,266,215,51,210:164,"0,561",251,290
Sweden,19,19,11,8,165,89,32,44,313,180,133,210:120,"0,636",249,299
USSR/Russia,15,15,10,5,153,89,31,33,291,120,171,209:,97,683,244
Yugoslavia/Serbia,19,5,11,8,161,86,36,39,313,163,150,208:114,"0,646",242,294
Portugal,19,19,6,13,155,80,37,38,273,164,109,197:113,"0,635",240,277
France,20,20,14,6,160,87,32,41,304,153,151,206:114,"0,644",238,293
Belgium,19,16,12,7,164,82,33,49,286,201,85,197:131,"0,601",232,279
South_Korea,14,12,9,5,148,76,41,31,257,143,114,193:103,"0,652",229,269
CSFR/Czech_Republic,18,16,9,9,161,83,31,47,296,155,141,197:125,"0,612",228,280
Paraguay,18,17,8,10,163,66,38,59,212,201,11,170:156,"0,521",213,236
Australia,13,13,4,9,132,70,33,29,322,121,201,173:,91,655,212
Iran,9,7,4,5,122,67,31,24,238,98,140,165:,79,676,207
Romania,18,13,7,11,139,72,27,40,241,156,85,171:107,"0,615",207,243
Honduras,13,9,3,10,140,63,36,41,236,159,77,162:118,"0,579",199,225
Switzerland,19,19,10,9,153,65,38,50,226,198,28,168:138,"0,549",199,233
Chile,17,5,9,8,160,63,34,63,229,217,12,160:160,"0,500",198,223
Colombia,15,15,5,10,152,56,43,53,184,167,17,155:149,"0,510",197,211
Austria,17,13,7,10,142,67,29,46,242,172,70,163:121,"0,574",188,230
Saudi_Arabia,10,10,4,6,113,58,27,28,195,111,84,143:,83,633,186
Hungary,18,16,9,9,144,69,28,47,289,206,83,166:122,"0,576",185,235
Poland,17,15,7,10,137,67,25,45,244,167,77,159:115,"0,580",184,226
Japan,14,12,5,9,118,58,26,34,216,100,116,142:,94,602,182
Nigeria,13,12,5,8,114,58,29,27,183,101,82,145:,83,636,180
Denmark,14,13,4,10,126,59,29,38,214,156,58,147:105,"0,583",179,206
Ireland,19,19,3,16,142,53,46,43,196,168,28,152:132,"0,535",179,205
Bulgaria,18,16,7,11,145,59,34,52,217,211,6,152:138,"0,524",176,211
Scotland,17,17,8,9,138,61,32,45,200,165,35,154:122,"0,558",174,215
El_Salvador,12,12,2,10,136,60,25,51,222,174,48,145:127,"0,533",173,205
Tunisia,13,12,4,9,108,52,30,26,173,95,78,134:,82,620,166
Cameroon,12,12,7,5,101,53,23,25,152,100,52,129:,73,639,162
Ecuador,14,14,3,11,135,45,32,58,153,184,-31,122:148,"0,452",162,167
Morocco,13,12,4,9,116,49,39,28,147,97,50,137:,95,591,159
China,10,9,1,9,92,57,11,24,194,72,122,125:,59,679,158
Trinidad_&_Tobago,13,13,1,12,124,50,26,48,180,159,21,126:122,"0,508",158,176
Greece,18,16,3,15,126,51,26,49,146,181,-35,128:124,"0,508",158,179
Turkey,16,14,2,14,128,48,22,58,184,189,-5,118:138,"0,461",150,166
Guatemala,14,12,14,111,44,29,38,172,135,37,117:105,"0,527",146,161,
Egypt,13,11,2,11,89,47,20,22,156,90,66,114:,64,640,143
Ghana,12,8,3,9,87,43,19,25,137,78,59,105:,69,603,138
Canada,13,12,1,12,110,43,32,35,146,132,14,118:102,"0,536",138,161
Norway,17,16,3,14,124,42,32,50,160,170,-10,116:132,"0,468",136,158
Peru,16,15,4,12,144,39,34,71,154,216,-62,112:176,"0,389",134,151
Uzbekistan,5,5,5,76,38,18,20,149,81,68,94:,58,"0,618",132,132
Ivory_Coast,10,8,3,7,79,40,24,15,146,76,70,104:,54,658,132
Qatar,10,10,10,94,41,21,32,144,102,42,103:,85,"0,548",130,144
Northern_Ireland,17,17,3,14,135,40,39,56,145,177,-32,119:151,"0,441",130,159
New_Zealand,12,12,2,10,87,44,17,26,197,102,95,105:,69,603,129
Algeria,12,12,4,8,94,41,24,29,124,98,26,106:,82,564,128
Jamaica,10,7,1,9,99,36,26,37,112,128,-16,98:100,"0,495",126,134
Palestine/Israel,19,19,1,18,115,36,36,43,157,166,-9,108:122,"0,470",126,144
Croatia,5,5,4,1,66,36,17,13,110,59,51,89:,43,674,125
Kuwait,11,11,1,10,88,45,14,29,150,88,62,104:,72,591,125
Iraq,10,9,1,9,88,42,19,27,178,89,89,103:,73,585,124
Zambia,12,12,12,88,41,18,29,134,81,53,100:,76,"0,568",121,141
Ukraine,5,5,1,4,65,32,21,12,100,50,50,85:,45,654,117
Bolivia,17,15,3,14,138,35,28,75,162,266,-104,98:178,"0,355",116,133
United_Arab_Emirates,8,8,1,7,82,33,17,32,128,105,23,83:,81,506,104
Wales,17,17,1,16,115,34,24,57,142,168,-26,92:138,"0,400",104,126
Bahrain,9,6,9,80,28,25,27,95,84,11,81:,79,"0,506",103,109
North_Korea,9,3,2,7,81,34,19,28,105,90,15,87:,75,537,101
Haiti,13,6,1,12,85,36,16,33,146,129,17,88:,82,518,101
Finland,18,18,18,119,30,20,69,125,274,-149,80:158,"0,336",98,110,
Slovakia,5,5,1,4,58,27,15,16,98,64,34,69:,47,595,96
Guinea,11,11,11,67,32,10,25,106,82,24,74:,60,"0,552",94,106
Angola,8,8,1,7,62,24,24,14,80,56,24,72:,52,581,92
South_Africa,6,6,3,3,51,27,11,13,66,50,16,65:,37,637,90
Oman,7,7,7,62,25,17,20,103,63,40,67:,57,"0,540",90,92
Zaire/Congo,9,7,1,8,71,28,17,26,106,88,18,73:,69,514,87
